review_id,business,location,review_date,rating,review,source,author,review_reply_url
R001,Moti Mahal,Toronto,6/20/2026,5,"We visited MotiMahal Restaurant in the Gerrard India Bazaar and enjoyed experiencing one of Toronto’s longest-running Indian restaurants. Serving the community since 1976, Moti Mahal has been a neighborhood landmark for generations and offers a casual, welcoming atmosphere, offering a mix of Indian street food, curries, thalis, sweets, and traditional favorites.

The restaurant has a long history and connection to Toronto’s Little India community. And, the menu offers a wide variety of options, from quick snacks and street food to full meals and freshly made sweets prepared in-house.

We were impressed with their selection of Indian sweets. The display offered a great variety of traditional desserts, and we ended up getting a mixed box to take home.",Google,Alaleh - FoodyTO,https://www.google.com/maps/contrib/103869732971444044816/reviews?hl=en-CA
R002,Moti Mahal,Toronto,1/18/2026,5,"A legendary spot in Toronto with almost 50 years of history! The chole bhature and keema paratha were absolutely amazing—rich flavors, authentic taste, and truly satisfying. You can tell the food carries decades of tradition and consistency. Mango lassi was decent.

The restaurant itself isn’t super clean or fancy, but the food more than makes up for it. If you’re looking for real, old-school North Indian comfort food, Moti Mahal is a must-visit.
Food: 5/5  |  Service: 5/5  |  Atmosphere: 3/5

Noise level
Quiet, easy to talk",Google,Abinash Panda,https://www.google.com/maps/contrib/102575625660281824131/reviews?hl=en-CA
R003,Moti Mahal,Toronto,5/2/2026,1,"Dine in  |  Brunch  |  CA$10–20
I came to the Moti Mahal restaurant today to have some chatpata food. I had heard a lot about Moti Mahal, that they have many dishes, so we came to taste them. But we wanted to get a lot of things, and we only got a few items. But, the cashier named Ritesh, his way of speaking is not appropriate. His behavior is completely senseless. He has no idea how to manage or handle customers. His attitude was as if I had bought nothing from the restaurant, just a small snack, even though there are many dishes here. But I request the manager of this restaurant to teach him some manners, how to speak to customers, and how to treat them.
Food: 2/5  |  Service: 1/5  |  Atmosphere: 1/5",Google,Mohammed Faiz Ansari,https://www.google.com/maps/contrib/104253115709864877271/reviews?hl=en-CA
R004,Moti Mahal,Toronto,2/6/2026,2,"I am giving two star for their raj kachori and naan. They tasted good. But for the other items that came with non-veg thaali, all of them were BAD. They tested super salty, greasy and overpoweringly spiced-up. I had acid reflux straight away after finishing the food. Definitely, the worst Indian food I have ever tried.
Food: 1/5  |  Service: 1/5  |  Atmosphere: 1/5",Google,Sneha Paul,https://www.google.com/maps/contrib/100201453242781394037/reviews?hl=en-CA
R005,Moti Mahal,Toronto,2/8/2026,5,"I’ve been a regular at Moti Mahal Restaurant for over six years now. This place is run by a wonderful elderly couple who are incredibly warm and kind—even today, they still head into the kitchen every single day to personally cook and oversee the dishes. The staff here is always professional and welcoming, making you feel right at home the moment you walk in.
?You can always find the perfect lunch to satisfy your cravings here. From their crispy samosas and traditional naan to my personal favorite—the lamb biryani—plus a great selection of desserts, they have it all. If you’re looking to experience authentic, time-honored Indian flavors, I highly recommend checking this place out!
Group size
1 person, 2 people",Google,Franklin Chen,https://www.google.com/maps/contrib/103544091814208383512/reviews?hl=en-CA
R006,Moti Mahal,Toronto,2/7/2026,2,"Bakwas, I don't know how people are fan of their's, I ordered Chana bhatura which didn't tasted well, channa was spiceless,no taste was in it ,just they tried to give small portion of aaloo sabji along which balanced it ,was my first try after long time ND last too, alloo prontha tasted same ,felt like it would've been more spicy,
It was different around 2021-2022 .
Last and important - I saw pakoras on the display ND I ordered 2 paneer pakoras as I like them alot and when I got it they didn't even microwaved them atleast before serving, they were cold as ever and when I tasted it ,it tasted so disgusting ,it's all about Masala inside which was definitely not upto mark ND even paneer was not real what I felt ,I felt like it was tofu ,cmon guys everywhere u have to use tofu instead of real cheese ,it ended all the taste I was expecting ,I didn't even completed eating pieces i ordered, paneer pakoda was 0/10.
Won't recommend
If anyone want to have chana bhatura, try locations in brampton better .
Food: 2/5  |  Service: 4/5  |  Atmosphere: 3/5

Group size
1 person",Google,Guri Ghattor,https://www.google.com/maps/contrib/117558656005584825961/reviews?hl=en-CA
R007,Moti Mahal,Toronto,12/5/2025,,"The Bhature were quite oily and the Chana could’ve been a lot more flavorful; I was expecting a stronger tadka. The Samosa Chaat felt pretty average, and the samosa didn’t taste fresh at all. The Kachori Chana was slightly better — above average but nothing exceptional.

There’s no table service, so you have to order at the counter and wait, which can take a while. The place is very small, making it awkward to stand and wait for your order. Also, the cleanliness is below average, which takes away from the overall experience.

Decent for a quick and affordable bite if you’re nearby, but not something I’d go out of my way for.
Food: 3/5  |  Service: 2/5  |  Atmosphere: 2/5

Group size
2 people

Wait time
10-30 min

Parking space
Somewhat difficult to find parking

Parking options
Paid parking lot",Google,Kuldip Kanojia,https://www.google.com/maps/contrib/104191046564140535330/reviews?hl=en-CA
R008,Moti Mahal,Toronto,8/31/2026,1,"I have been coming here since 1985, it is my favourite childhood restaurant. So imagine my shock when they wouldn't sell me an item that's on the menu and in stock. Idk if the owners have changed or what, everyone working is different, but protecting khadi like it's Ft Knox to a 40 year customer is silly. Motimahal isn't the place I know anymore. They gave me all bones in the butter chicken too, when it's always been white meat.
Food: 5/5  |  Service: 1/5  |  Atmosphere: 3/5",Google,R. Kanji,https://www.google.com/maps/contrib/107232624749062124820/reviews?hl=en-CA
R009,Moti Mahal,Toronto,8/20/2026,5,"I had authentic Indian food after a very long time. Chana Bhatura used to be my daily breakfast in a different life and I have missed a good plate almost every day I have been in Toronto.

My friend took me to Moti Mahal and it was exactly what I was looking for! Even the sweets counter is exactly as you would see in North India. Reminded me of my hometown.
Wait time
No wait",Google,Siddharth Tyagi,https://www.google.com/maps/contrib/113864409065114429592/reviews?hl=en-CA
R010,Moti Mahal,Toronto,9/5/2024,5,"A classic and historical spot on Gerrard, we had a great time at MotiMahal! Their food was delicious and authentic, bringing the taste of the street food and dishes to India right here. It was fairly busy when we were there with lots of groups of family and friends there. You can't go wrong with this place.
Food: 5/5  |  Service: 5/5  |  Atmosphere: 4/5

Recommended dishes
Channa Bhatura, Raj Kachori, Chicken Tikka, Kulfi",Google,6ix Foodspots,https://www.google.com/maps/contrib/113202096685410723763/reviews?hl=en-CA
