review_id,business,location,review_date,rating,review,source,author
demo-0001,Demo GTA Restaurant,Downtown Toronto,2026-07-05,2,The Tandoori Chicken tasted bland and the portion was too small for the price.,Google,Customer 1
demo-0002,Demo GTA Restaurant,Downtown Toronto,2026-07-05,2,Food was decent but service was very slow during dinner.,Google,Customer 2
demo-0003,Demo GTA Restaurant,Downtown Toronto,2026-08-08,4,Good food overall. The Tandoori Chicken was the highlight.,Google,Customer 3
demo-0004,Demo GTA Restaurant,Downtown Toronto,2026-08-08,5,Really enjoyed the Chicken Biryani. Good portions and great value.,Google,Customer 4
demo-0005,Demo GTA Restaurant,Downtown Toronto,2026-08-20,2,Restaurant was crowded and the tables were not clean.,Google,Customer 5
demo-0006,Demo GTA Restaurant,Downtown Toronto,2026-06-11,4,Nice atmosphere and the Butter Chicken tasted fresh.,Google,Customer 6
demo-0007,Demo GTA Restaurant,Downtown Toronto,2026-07-05,2,Takeout was late and the packaging leaked.,Google,Customer 7
demo-0008,Demo GTA Restaurant,Downtown Toronto,2026-08-30,2,We waited 45 minutes for the Tandoori Chicken. Food was good but service was painfully slow.,Google,Customer 8
demo-0009,Demo GTA Restaurant,Downtown Toronto,2026-08-07,4,Nice atmosphere and the Naan tasted fresh.,Google,Customer 9
demo-0010,Demo GTA Restaurant,Downtown Toronto,2026-07-21,5,Really enjoyed the Dal Makhani. Good portions and great value.,Google,Customer 10
demo-0011,Demo GTA Restaurant,Downtown Toronto,2026-06-26,2,The Naan tasted bland and the portion was too small for the price.,Google,Customer 11
demo-0012,Demo GTA Restaurant,Downtown Toronto,2026-08-31,2,Dinner service was very slow. Waited over 35 minutes before getting the Chicken Biryani.,Google,Customer 12
demo-0013,Demo GTA Restaurant,Downtown Toronto,2026-07-10,3,The Tandoori Chicken was okay. Service was average.,Google,Customer 13
demo-0014,Demo GTA Restaurant,Downtown Toronto,2026-07-30,2,Takeout was late and the packaging leaked.,Google,Customer 14
demo-0015,Demo GTA Restaurant,Downtown Toronto,2026-07-26,5,The Butter Chicken was delicious and the staff were very friendly.,Google,Customer 15
demo-0016,Demo GTA Restaurant,Downtown Toronto,2026-07-11,2,The Chicken Biryani tasted bland and the portion was too small for the price.,Google,Customer 16
demo-0017,Demo GTA Restaurant,Downtown Toronto,2026-08-23,5,Really enjoyed the Butter Chicken. Good portions and great value.,Google,Customer 17
demo-0018,Demo GTA Restaurant,Downtown Toronto,2026-08-25,2,The Dal Makhani was tasty but the wait time was unacceptable.,Google,Customer 18
